,date,c13,o18
440,1763.42,-24.32,25.91
441,1763.58,-24.29,26.05
442,1763.75,-24.15,26.29
443,1763.92,-24.43,26.58
444,1764.08,-25.06,25.78
445,1764.25,-25.01,25.35
446,1764.42,-24.95,25.76
447,1764.75,-25.32,26.89
448,1764.92,-25.47,26.0
449,1765.08,-25.19,25.06
450,1765.25,-24.99,24.75
451,1765.42,-24.78,23.99
452,1765.58,-25.09,23.88
453,1765.75,-25.15,24.91
454,1765.92,-25.09,25.26
455,1766.08,-25.15,25.83
456,1766.25,-25.51,24.51
457,1766.42,-25.34,24.61
458,1766.58,-25.64,24.24
459,1766.75,-26.02,25.4
460,1766.92,-26.09,25.89
461,1767.08,-25.85,24.25
462,1767.25,-25.4,24.4
463,1767.42,-24.95,25.96
464,1767.58,-25.58,23.41
465,1767.75,-25.51,24.41
466,1767.92,-25.5,26.39
467,1768.08,-25.66,25.76
468,1768.25,-25.53,25.62
469,1768.42,-25.24,25.24
470,1768.58,-25.69,24.28
471,1768.75,-25.91,24.77
472,1768.92,-25.91,26.0
473,1769.13,-25.12,25.99
474,1769.38,-24.88,25.79
475,1769.63,-24.75,25.27
476,1769.88,-24.99,24.84
477,1770.08,-24.6,25.01
478,1770.25,-24.65,24.89
479,1770.42,-24.68,24.2
480,1770.58,-24.79,24.54
481,1770.75,-24.92,25.09
482,1770.92,-24.8,26.65
483,1771.08,-24.89,26.09
484,1771.25,-24.32,26.86
485,1771.42,-24.27,26.18
486,1771.58,-24.08,26.63
487,1771.75,-24.1,27.26
488,1771.92,-25.14,25.8
489,1772.13,-24.99,26.0
490,1772.38,-24.7,27.0
491,1772.63,-24.39,25.81
492,1772.88,-24.31,25.14
493,1773.17,-24.49,25.33
494,1773.5,-24.51,26.11
495,1773.83,-24.52,25.38
496,1774.13,-24.91,25.24
497,1774.38,-25.05,23.97
498,1774.63,-25.02,25.08
499,1774.88,-25.07,25.8
500,1775.1,-24.69,26.27
501,1775.3,-24.76,26.15
502,1775.5,-24.61,27.11
503,1775.7,-24.77,26.53
504,1775.9,-24.82,26.78
505,1776.17,-24.98,26.75
506,1776.5,-24.84,25.96
507,1776.83,-25.2,24.78
